Q1_j,Q1_r,Q2_j,Q2_r,Q3_j,Q3_r,Q4_j,Q4_r,Q5_j,Q5_r,Q6_j,Q6_r,Q7_j,Q7_r,Q8_j,Q8_r
1,1,1,1,1.5,1.5,1,1,0,0,1,1,1,1,1.5,1.5
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1.5,1.5
1,1,1,1,0,0,1,1,0,0,1,1,0,0,1.5,1.5
0,0,1,1,0,1,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5
0,0,0.5,1,0,0,0.5,0.5,0,0,0,0,1,1,0,0
0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,1,1,1.5,1.5
1,1,1,1,0.5,0.5,0,0,0,0,0,0,1,1,1.5,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5
0,0,0.5,0,0.5,0.5,1.5,1.5,1,1,0,0,0,0,0.5,0.5
0.5,0.5,1,1,0,0,1,1,1,1,1,1,1,1,0.5,0.5
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.5,0.5
1,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1.5,1.5,0.5,1,1.5,1.5,1,1,1.5,1.5
0,0,1,1,1.5,1.5,0,0,0,0,0.5,0.5,1,1,0,0
0,0,1,1,1,1,0,0,0,0,0,0,1,1,0.5,0.5
0,0,0,0,0,0,1.5,1.5,1,1,0,0,0,0,0.5,0.5
0,0,1,1,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.5,1.5
0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,1,1,1.5,1.5
0,0,1,1,1.5,1.5,1,1,1,1,0,0,1,1,1.5,1.5
0.5,0.5,1,1,0,0,1.5,1.5,1,1,1,1,0,0,1.5,1.5
0,0,0,0,1,1,1.5,1.5,1,1,1,1,0,0,1.5,1.5
0,0,1,1,0,0,1,1,0,0,0,0,1,1,1.5,1.5
0,0,1,1,0,0,1.5,1.5,0.5,0.5,0,0,0,0,1.5,1.5
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1.5,1.5
1,1,1,1,1.5,1.5,0,0,0.5,0.5,1,1,0,0,1.5,1.5
1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1.5,1.5
0,0,1,1,1.5,1.5,1,1,0.5,0.5,0,0,1,1,1.5,1.5
1,1,1,1,0,0,1.5,1.5,1,1,1,1,0,0,1.5,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0.5,0.5,1,1,0,0,1.5,1.5,1,1,1,1,1,1,1.5,1.5
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.5,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
0,0,0.5,0.5,1.5,1.5,0,0,1,1,0,0,1,1,0.5,0.5
0,0,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1.5,1.5,1,1,0,0,0,0,1.5,1.5
0,0,1,1,0.5,0.5,1.5,1.5,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0.5,0.5,1,1,0,0,0,0,1.5,1.5
0,0,0,0,0,0,1.5,1.5,0,0,0,0,1,1,1.5,1.5
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.5,1.5
1,1,1,1,0,0,1.5,1.5,0,0,0.5,0.5,1,1,1.5,1.5
0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,1.5,1.5
1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1,0,0
0,0,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0
0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1.5,1.5
1,1,1,1,1.5,1.5,0,0.5,0,0.5,0,0.5,1,1,1.5,1.5
0,0,0,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0.5,0.5
0,0,0,0,0,0,0.5,0.5,0,0,1,0,1,0,1.5,1.5
1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
1,1,0,0,0.5,0.5,1,1,0,0,0,0,1,1,1.5,1.5
0,0,1,1,0,0,1.5,1.5,1,1,0,0,0.5,0.5,0.5,0.5
0,0,1,1,1,0.5,0,0,1,1,0,0,0,0,1.5,1.5
0,0,1,1,1.5,1.5,1,1,1,1,0,0,1,1,1.5,1.5
0.5,0,0,0,0,0,1.5,1.5,1,1,1,1,1,1,0,0
0.5,0,1,1,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1.5,1.5
0,0,1,1,0,0,1.5,1.5,0.5,0.5,1,1,1,1,1.5,1.5
0.5,0.5,1,1,0.5,0,0,0,0.5,0.5,0.5,0.5,1,1,1.5,1.5
0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1.5,1.5
0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0.5,0.5
0.5,0.5,0,0,1.5,1.5,0,0,1,1,0,0,1,1,1.5,1.5
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.5,1.5
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.5,1.5
1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,0.5,0.5,1.5,1.5
0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0
0.5,0.5,0,0,0,0,1,1,0,0,0,0,0,0,1.5,1.5
0,0,1,1,0.5,0,1.5,1.5,0,0,0,0,1,1,1.5,1.5
0,0,1,1,0,0,1,1,0.5,0.5,0,0,0,0,1.5,1.5
0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,1,0,0,1.5,1.5
0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0
0.5,0.5,1,1,0,0,0,0,0.5,0.5,0,0,1,1,1.5,1.5
1,1,0,0,1.5,1.5,0,0,0.5,1,0,0,0.5,0.5,1.5,1.5
0,0,0.5,0.5,0.5,0,0,0,0,0,1,1,0,0,0.5,0.5
1,1,1,1,1.5,1.5,0,0,0,0,0.5,0.5,0,0,1.5,1.5
0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,1,1,0.5,0.5
0,0,0.5,1,0,0,0,0,0,0,0,0,1,1,0.5,0.5
0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,0.5
0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,1,1.5,1.5
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1.5,1.5
